iter	Passed	Remaining
211	13483	18317
212	13542	18247
213	13594	18168
214	13649	18093
215	13705	18020
216	13765	17952
217	13826	17885
218	13881	17810
219	13943	17745
220	13995	17668
221	14051	17595
222	14108	17524
223	14165	17453
224	14219	17379
225	14283	17316
226	14338	17244
227	14395	17173
228	14448	17098
229	14507	17030
230	14567	16964
231	14626	16896
232	14688	16831
233	14742	16758
234	14796	16685
235	14854	16617
236	14911	16547
237	14969	16478
238	15025	16409
239	15083	16340
240	15145	16276
241	15202	16207
242	15259	16138
243	15316	16069
244	15371	15998
245	15426	15927
246	15487	15863
247	15546	15797
248	15604	15730
249	15658	15658
250	15711	15586
251	15767	15516
252	15823	15448
253	15884	15384
254	15943	15318
255	16000	15250
256	16056	15181
257	16111	15112
258	16165	15042
259	16227	14979
260	16280	14908
261	16339	14842
262	16394	14773
263	16456	14711
264	16518	14648
265	16571	14578
266	16631	14513
267	16690	14448
268	16752	14385
269	16811	14321
270	16870	14256
271	16932	14193
272	16989	14126
273	17051	14063
274	17111	14000
275	17168	13933
276	17224	13866
277	17281	13800
278	17337	13733
279	17391	13665
280	17452	13601
281	17508	13534
282	17567	13470
283	17620	13401
284	17674	13333
285	17728	13265
286	17788	13202
287	17845	13136
288	17903	13071
289	17969	13012
290	18027	12947
291	18090	12886
292	18154	12825
293	18214	12762
294	18273	12698
295	18328	12631
296	18386	12567
297	18439	12499
298	18494	12432
299	18553	12368
300	18611	12304
301	18666	12238
302	18718	12170
303	18776	12105
304	18836	12043
305	18897	11980
306	18959	11919
307	19019	11856
308	19080	11794
309	19137	11729
310	19203	11670
311	19264	11608
312	19322	11544
313	19382	11481
314	19442	11418
315	19500	11354
316	19559	11291
317	19611	11224
318	19668	11160
319	19730	11098
320	19788	11034
321	19848	10972
322	19905	10908
323	19965	10845
324	20022	10781
325	20082	10718
326	20140	10655
327	20208	10597
328	20278	10539
329	20362	10489
330	20433	10432
331	20512	10379
332	20588	10324
333	20663	10269
334	20727	10209
335	20796	10150
336	20866	10092
337	20937	10035
338	21003	9975
339	21082	9920
340	21152	9862
341	21220	9803
342	21285	9742
343	21352	9683
344	21419	9623
345	21496	9567
346	21553	9503
347	21619	9442
348	21678	9379
349	21731	9313
350	21798	9253
351	21862	9192
352	21929	9132
353	21993	9070
354	22066	9013
355	22148	8959
356	22243	8909
357	22311	8849
358	22411	8802
359	22517	8756
360	22605	8703
361	22701	8654
362	22792	8602
363	22894	8553
364	22997	8506
365	23115	8463
366	23225	8416
367	23312	8361
368	23399	8307
369	23514	8261
370	23586	8201
371	23685	8149
372	23791	8100
373	23901	8052
374	24010	8003
375	24101	7948
376	24170	7885
377	24246	7825
378	24318	7764
379	24392	7702
380	24490	7649
381	24587	7595
382	24686	7541
383	24804	7493
384	24913	7441
385	25038	7394
386	25158	7346
387	25250	7288
388	25360	7236
389	25465	7182
390	25584	7132
391	25681	7075
392	25780	7019
393	25894	6966
394	26014	6915
395	26128	6862
396	26244	6808
397	26346	6752
398	26453	6696
399	26561	6640
400	26662	6582
401	26771	6526
402	26877	6469
403	26989	6413
404	27105	6358
405	27245	6307
406	27356	6251
407	27481	6196
408	27578	6136
409	27682	6076
410	27814	6023
411	27907	5960
412	28025	5903
413	28128	5843
414	28239	5783
415	28356	5725
416	28427	5658
417	28533	5597
418	28665	5541
419	28778	5481
420	28890	5421
421	28996	5359
422	29113	5299
423	29236	5240
424	29346	5178
425	29456	5116
426	29575	5056
427	29688	4994
428	29803	4932
429	29907	4868
430	30009	4804
431	30125	4741
432	30225	4676
433	30325	4611
434	30435	4547
435	30560	4485
436	30670	4421
437	30784	4357
438	30894	4292
439	31007	4228
440	31128	4164
441	31232	4098
442	31321	4030
443	31448	3966
444	31565	3901
445	31683	3836
446	31802	3770
447	31909	3703
448	32037	3638
449	32144	3571
450	32243	3503
451	32346	3434
452	32433	3365
453	32535	3296
454	32594	3223
455	32685	3153
456	32785	3084
457	32865	3013
458	32952	2943
459	33042	2873
460	33152	2804
461	33251	2734
462	33348	2664
463	33433	2593
464	33516	2522
465	33612	2452
466	33699	2381
467	33795	2310
468	33894	2240
469	33967	2168
470	34061	2097
471	34147	2025
472	34221	1953
473	34314	1882
474	34388	1809
475	34464	1737
476	34555	1666
477	34647	1594
478	34712	1521
479	34774	1448
480	34867	1377
481	34944	1304
482	35004	1232
483	35097	1160
484	35165	1087
485	35270	1016
486	35347	943
487	35413	870
488	35505	798
489	35627	727
490	35697	654
491	35832	582
492	35912	509
493	36013	437
494	36182	365
495	36281	292
496	36384	219
497	36476	146
498	36598	73
499	36674	0
