iter	Logloss
330	0.2573145061
331	0.2572984901
332	0.2572497493
333	0.2571655779
334	0.2571398838
335	0.2570516879
336	0.2569519245
337	0.2569388829
338	0.2568905778
339	0.256820843
340	0.2567834938
341	0.2567681071
342	0.2566673359
343	0.2565906427
344	0.2565326676
345	0.2564828754
346	0.2564413463
347	0.2564261172
348	0.2564052279
349	0.2563892882
350	0.2563517944
351	0.2562735133
352	0.2562555017
353	0.2561492223
354	0.2561210251
355	0.2560960341
356	0.2559519991
357	0.2559272678
358	0.2559012043
359	0.255856073
360	0.2558148208
361	0.2557832151
362	0.2557317358
363	0.2556582745
364	0.2555405658
365	0.2554650664
366	0.2554365762
367	0.25542802
368	0.2553893261
369	0.2553418264
370	0.255312783
371	0.2552991222
372	0.2552443197
373	0.2550240721
374	0.2550001199
375	0.254945416
376	0.2549133933
377	0.254816976
378	0.2547895673
379	0.2547616074
380	0.2546951701
381	0.2546748795
382	0.254559682
383	0.2544830158
384	0.2544632339
385	0.2544469217
386	0.2543976456
387	0.2543711931
388	0.2542842157
389	0.2542314346
390	0.2542195453
391	0.2541752361
392	0.2541704227
393	0.2541523408
394	0.2540817079
395	0.2540604349
396	0.254035308
397	0.253954789
398	0.2537412225
399	0.253720155
400	0.253642217
401	0.2535618634
402	0.2535228921
403	0.253475819
404	0.2533959042
405	0.2533271905
406	0.2532238201
407	0.2531279637
408	0.2530569425
409	0.2530167769
410	0.2529942064
411	0.2529759292
412	0.2529065696
413	0.2528844476
414	0.252845973
415	0.2527134848
416	0.2526297896
417	0.2526205981
418	0.2525298482
419	0.2525035663
420	0.2524537743
421	0.2524408315
422	0.2524168929
423	0.2523965604
424	0.2522917769
425	0.2522546091
426	0.2522295532
427	0.2521463211
428	0.2521222739
429	0.2520792373
430	0.2520499925
431	0.2519673151
432	0.2518797609
433	0.2518589779
434	0.2518470904
435	0.2517981153
436	0.2517755267
437	0.2517000593
438	0.2516479329
439	0.2516134358
440	0.2515778389
441	0.2514144521
442	0.2513778369
443	0.2513007394
444	0.2512243572
445	0.2511747562
446	0.2511107495
447	0.2510758308
448	0.2510405109
449	0.2510183289
450	0.2509609309
451	0.2509315408
452	0.2508804113
453	0.2507558628
454	0.2506888143
455	0.2506719721
456	0.2505452426
457	0.2505237941
458	0.2504665466
459	0.2504058071
460	0.2503653567
461	0.2503566373
462	0.2502574138
463	0.2501932245
464	0.2501692871
465	0.2501357744
466	0.2501111612
467	0.2500426821
468	0.2500122995
469	0.2499958282
470	0.2499153787
471	0.2498439737
472	0.2496098866
473	0.249588372
474	0.249544935
475	0.2494829643
476	0.2494178076
477	0.2493639361
478	0.2493175523
479	0.2492603579
480	0.2492112148
481	0.2492003554
482	0.2491517613
483	0.2491133928
484	0.2490142589
485	0.2489899049
486	0.2489395455
487	0.2488903909
488	0.2488295566
489	0.2487965678
490	0.2487439968
491	0.2487139015
492	0.248664708
493	0.2486447203
494	0.2486163776
495	0.2485904745
496	0.2485157445
497	0.2484630012
498	0.2484520177
499	0.2483326111
